A/C,N,O,R,RU,U,UO,RO
fishA HR,3.02E-05,6.04E-05,4.53E-05,3.02E-05,7.55E-05,3.02E-05,1.51E-05
fishA MR,4.53E-05,9.06E-05,0.000120758,4.53E-05,9.06E-05,9.06E-05,0.000181138
fishA KR,0.001252868,0.000800024,0.000633981,0.000709455,0.000709455,0.000815119,0.000679266
fishA NR,0.000135853,0.000467939,0.000558507,0.000558507,0.000543413,0.000467939,0.000498128
fishB LR,0,1.51E-05,0,3.02E-05,0,0,1.51E-05
fishB KR,0.001554764,0.001464195,0.00147929,0.001373626,0.001464195,0.00147929,0.001494385
fishB NR,1.51E-05,9.06E-05,9.06E-05,0.000135853,0.000105664,9.06E-05,6.04E-05
fishB MR,0,0,0,3.02E-05,0,0,0
crab LR,0.000120758,0.000211327,9.06E-05,0.000135853,0.000105664,0.000301896,0.000196232
crab HR,0,1.51E-05,1.51E-05,7.55E-05,1.51E-05,4.53E-05,4.53E-05
crab KR,0.001056636,0.000739645,0.000784929,0.000633981,0.000709455,0.000603792,0.000860403
crab MR,4.53E-05,7.55E-05,9.06E-05,7.55E-05,0.000105664,0.000120758,3.02E-05
crab NR,0.00034718,0.000528318,0.000588697,0.000649076,0.000633981,0.000498128,0.000437749
prawns LR,1.51E-05,7.55E-05,4.53E-05,4.53E-05,6.04E-05,0,1.51E-05
prawns HR,0,0,1.51E-05,3.02E-05,1.51E-05,0,0
prawns KR,0.001373626,0.001283058,0.00113211,0.001177394,0.001086825,0.001358532,0.001388721
prawns MR,3.02E-05,1.51E-05,3.02E-05,3.02E-05,1.51E-05,0,0
prawns NR,0.000150948,0.000196232,0.00034718,0.000286801,0.000392465,0.000211327,0.000166043
shark LR,0.000196232,0.000241517,0.000301896,0.000467939,0.000332085,0.000437749,0.000226422
shark HR,3.02E-05,4.53E-05,3.02E-05,0,1.51E-05,3.02E-05,0
shark MR,0.000150948,0.000150948,0.000196232,0.000105664,0.000181138,0.000120758,7.55E-05
shark KR,0.000920783,0.000196232,0.000226422,0.000120758,0.000196232,0.000120758,0.000181138
shark NR,0.000271706,0.000935877,0.000815119,0.000875498,0.000845309,0.000860403,0.001086825
avaraikai LR,6.04E-05,0.000120758,0.000150948,0.000166043,0.000166043,0.000181138,0.000166043
avaraikai HR,0,4.53E-05,0,0,0,6.04E-05,0
avaraikai KR,0.001162299,0.000830214,0.000769835,0.000815119,0.000875498,0.000558507,0.000649076
avaraikai MR,0,4.53E-05,6.04E-05,7.55E-05,7.55E-05,3.02E-05,9.06E-05
avaraikai NR,0.00034718,0.000528318,0.000588697,0.000513223,0.000452844,0.000739645,0.000664171
banana LR,0.000211327,0.000286801,0.000407559,0.000513223,0.00037737,0.000332085,0.000513223
banana HR,0,4.53E-05,4.53E-05,7.55E-05,4.53E-05,4.53E-05,0
banana KR,0.000966067,0.000498128,0.000256612,0.000286801,0.000407559,0.000467939,0.00034718
banana MR,3.02E-05,7.55E-05,0.000166043,0.000196232,0.000150948,9.06E-05,9.06E-05
banana NR,0.000362275,0.000664171,0.000694361,0.000498128,0.000588697,0.000633981,0.000618887
beans LR,7.55E-05,0.000166043,0.000120758,9.06E-05,0.000196232,0.000332085,0.000181138
beans HR,0,3.02E-05,0,4.53E-05,3.02E-05,0,0
beans KR,0.001162299,0.000573602,0.00072455,0.000633981,0.000709455,0.000664171,0.000739645
beans MR,0,0.000120758,1.51E-05,6.04E-05,9.06E-05,0,4.53E-05
beans NR,0.000332085,0.000679266,0.000709455,0.000739645,0.000543413,0.000573602,0.000603792
beetroot LR,0,4.53E-05,4.53E-05,4.53E-05,6.04E-05,1.51E-05,4.53E-05
beetroot HR,0,0,1.51E-05,0,1.51E-05,0,3.02E-05
beetroot KR,0.001358532,0.001298152,0.001328342,0.001237773,0.001237773,0.001373626,0.001222678
beetroot MR,1.51E-05,4.53E-05,0,0,1.51E-05,3.02E-05,3.02E-05
beetroot NR,0.000196232,0.000181138,0.000181138,0.000286801,0.000241517,0.000150948,0.000241517
brinjal LR,0,1.51E-05,1.51E-05,4.53E-05,3.02E-05,0,0
brinjal KR,0.00147929,0.001434006,0.001418911,0.0014491,0.001343437,0.001267963,0.001343437
brinjal NR,9.06E-05,0.000120758,0.000135853,7.55E-05,0.000181138,0.000301896,0.000226422
brinjal MR,0,0,0,0,1.51E-05,0,0
cabbage LR,6.04E-05,0.000105664,0.000135853,7.55E-05,0.000120758,3.02E-05,3.02E-05
cabbage HR,0,0,1.51E-05,0,1.51E-05,0,0
cabbage KR,0.001283058,0.000981162,0.000935877,0.001026446,0.001041541,0.000996256,0.001252868
cabbage MR,4.53E-05,7.55E-05,4.53E-05,3.02E-05,6.04E-05,0,1.51E-05
cabbage NR,0.000181138,0.000407559,0.000437749,0.000437749,0.000332085,0.000543413,0.000271706
capsicum LR,9.06E-05,0.000241517,0.000196232,0.000286801,0.000196232,0.000120758,0.000150948
capsicum HR,0,0,3.02E-05,7.55E-05,3.02E-05,1.51E-05,1.51E-05
capsicum KR,0.000905688,0.000181138,0.000135853,0.000120758,0.000211327,7.55E-05,0.000211327
capsicum MR,9.06E-05,9.06E-05,6.04E-05,9.06E-05,0.000105664,3.02E-05,7.55E-05
capsicum NR,0.000483033,0.001056636,0.001147204,0.000996256,0.001026446,0.001328342,0.001117015
chillie LR,0,1.51E-05,1.51E-05,0.000181138,9.06E-05,3.02E-05,3.02E-05
chillie HR,0,4.53E-05,0,0,0,0,0
chillie MR,0,1.51E-05,3.02E-05,6.04E-05,1.51E-05,1.51E-05,0
chillie KR,0.0014491,0.001177394,0.001192489,0.00107173,0.001207584,0.001358532,0.001388721
chillie NR,0.000120758,0.000316991,0.000332085,0.000256612,0.000256612,0.000166043,0.000150948
cauliflower LR,1.51E-05,4.53E-05,3.02E-05,3.02E-05,6.04E-05,6.04E-05,9.06E-05
cauliflower HR,0,0,1.51E-05,0,1.51E-05,0,1.51E-05
cauliflower MR,0,0,1.51E-05,0,3.02E-05,0,0
cauliflower KR,0.001539669,0.001237773,0.001343437,0.001313247,0.001207584,0.001343437,0.001343437
cauliflower NR,1.51E-05,0.000286801,0.000166043,0.000226422,0.000256612,0.000166043,0.000120758
carrot LR,0,1.51E-05,3.02E-05,4.53E-05,3.02E-05,3.02E-05,0
carrot KR,0.00150948,0.001418911,0.001358532,0.001343437,0.001373626,0.0014491,0.001313247
carrot NR,6.04E-05,0.000135853,0.000166043,0.000181138,0.000150948,9.06E-05,0.000256612
carrot MR,0,0,1.51E-05,0,1.51E-05,0,0
chowchow LR,0.000120758,9.06E-05,0.000196232,0.000256612,0.000150948,0.000166043,0.000150948
chowchow HR,0,1.51E-05,3.02E-05,0,4.53E-05,0,0
chowchow KR,0.000815119,0.000150948,0.000150948,0.000105664,0.000181138,0.000105664,0.000105664
chowchow MR,6.04E-05,9.06E-05,0.000120758,0.000150948,4.53E-05,4.53E-05,0.000105664
chowchow NR,0.000573602,0.001222678,0.00107173,0.001056636,0.001147204,0.001252868,0.001207584
corn LR,0.000105664,0.00037737,0.000316991,0.00037737,0.00037737,0.00037737,0.00037737
corn HR,3.02E-05,3.02E-05,9.06E-05,6.04E-05,4.53E-05,4.53E-05,9.06E-05
corn KR,0.000860403,0.000150948,0.000241517,7.55E-05,9.06E-05,0.000166043,7.55E-05
corn MR,0.000166043,0.000150948,0.000196232,0.000150948,0.000241517,0.000135853,0.000226422
corn NR,0.000407559,0.000860403,0.00072455,0.000905688,0.000815119,0.000845309,0.000800024
cucumber LR,3.02E-05,0.000226422,0.000271706,0.000256612,0.000166043,0.00034718,0.000120758
cucumber HR,0,0,0,3.02E-05,0,3.02E-05,3.02E-05
cucumber KR,0.000815119,0.000452844,0.000392465,0.000256612,0.000332085,0.000226422,0.000407559
cucumber MR,7.55E-05,3.02E-05,1.51E-05,6.04E-05,0.000120758,7.55E-05,0.000135853
cucumber NR,0.000649076,0.000860403,0.000890593,0.000966067,0.000950972,0.000890593,0.000875498
drumstick LR,3.02E-05,3.02E-05,7.55E-05,0,1.51E-05,0.000150948,1.51E-05
drumstick HR,4.53E-05,0,0,0,0,3.02E-05,0
drumstick KR,0.001343437,0.001147204,0.001192489,0.001267963,0.00113211,0.000950972,0.001343437
drumstick MR,0,1.51E-05,0,6.04E-05,1.51E-05,0,1.51E-05
drumstick NR,0.000150948,0.00037737,0.000301896,0.000241517,0.000407559,0.000437749,0.000196232
greens LR,0,0,3.02E-05,6.04E-05,3.02E-05,0,1.51E-05
greens KR,0.00147929,0.00147929,0.001418911,0.001298152,0.0014491,0.001464195,0.00150948
greens NR,9.06E-05,9.06E-05,0.000120758,0.000211327,7.55E-05,0.000105664,4.53E-05
greens MR,0,0,0,0,1.51E-05,0,0
gourds LR,0.000166043,0.000316991,0.000392465,0.000392465,0.000467939,0.000467939,0.00037737
gourds HR,0,7.55E-05,7.55E-05,0.000166043,9.06E-05,4.53E-05,1.51E-05
gourds MR,0.000271706,0.000241517,0.000241517,0.000362275,0.000286801,0.00034718,0.000271706
gourds KR,0.000860403,0.000120758,0.000166043,0.000196232,0.000135853,9.06E-05,0.000135853
gourds NR,0.000271706,0.000815119,0.000694361,0.000452844,0.000588697,0.000618887,0.000769835
kovaikai LR,3.02E-05,6.04E-05,3.02E-05,9.06E-05,0.000135853,1.51E-05,6.04E-05
kovaikai HR,0,0,1.51E-05,0,1.51E-05,0,0
kovaikai KR,0.001177394,0.001026446,0.000996256,0.00113211,0.001041541,0.001147204,0.001086825
kovaikai MR,6.04E-05,4.53E-05,1.51E-05,0,1.51E-05,4.53E-05,0
kovaikai NR,0.000301896,0.000437749,0.000513223,0.00034718,0.000362275,0.000362275,0.000422654
kothavarai LR,1.51E-05,0.000120758,4.53E-05,3.02E-05,7.55E-05,9.06E-05,7.55E-05
kothavarai HR,0,1.51E-05,0,0,3.02E-05,0,0
kothavarai KR,0.001418911,0.001252868,0.001328342,0.001373626,0.001147204,0.001041541,0.001358532
kothavarai MR,0,0,0,1.51E-05,0,4.53E-05,1.51E-05
kothavarai NR,0.000135853,0.000181138,0.000196232,0.000150948,0.000316991,0.000392465,0.000120758
Lfinger LR,4.53E-05,9.06E-05,4.53E-05,9.06E-05,4.53E-05,3.02E-05,4.53E-05
Lfinger HR,1.51E-05,1.51E-05,0,0,0,0,0
Lfinger KR,0.001388721,0.00113211,0.001192489,0.001237773,0.001192489,0.001207584,0.001177394
Lfinger MR,0,1.51E-05,1.51E-05,0,0,0,0
Lfinger NR,0.000120758,0.000316991,0.000316991,0.000241517,0.000332085,0.000332085,0.00034718
malli LR,0.000120758,1.51E-05,0,4.53E-05,3.02E-05,0,1.51E-05
malli HR,1.51E-05,0,0,0,0,3.02E-05,0
malli KR,0.001388721,0.001418911,0.001494385,0.0014491,0.001373626,0.001464195,0.001388721
malli MR,0,0,0,1.51E-05,1.51E-05,0,0
malli NR,4.53E-05,0.000135853,7.55E-05,6.04E-05,0.000150948,7.55E-05,0.000166043
mango LR,7.55E-05,0.000241517,0.000226422,0.000211327,0.000226422,0.000316991,0.000181138
mango HR,0,0,1.51E-05,0,1.51E-05,0,9.06E-05
mango KR,0.000815119,7.55E-05,6.04E-05,6.04E-05,1.51E-05,0,0
mango MR,4.53E-05,0.000105664,7.55E-05,0.000166043,6.04E-05,4.53E-05,0.000166043
mango NR,0.000633981,0.001147204,0.001192489,0.00113211,0.001252868,0.001207584,0.00113211
mushroom LR,9.06E-05,7.55E-05,3.02E-05,0.000196232,6.04E-05,4.53E-05,1.51E-05
mushroom HR,0,0,0,0,1.51E-05,0,0
mushroom KR,0.00107173,0.000966067,0.001056636,0.000875498,0.000981162,0.00110192,0.001222678
mushroom MR,0,3.02E-05,1.51E-05,0,7.55E-05,1.51E-05,0
mushroom NR,0.000407559,0.000498128,0.000467939,0.000498128,0.000437749,0.000407559,0.000332085
