A/C,N,O,R,RU,U,UO,RO
channa LR,0,3.02E-05,4.53E-05,1.51E-05,0,0,0
channa KR,0.001464195,0.001313247,0.001343437,0.001464195,0.001283058,0.001298152,0.001222678
channa NR,0.000105664,0.000226422,0.000181138,7.55E-05,0.000256612,0.000271706,0.00034718
channa MR,0,0,0,1.51E-05,3.02E-05,0,0
dhal LR,0,4.53E-05,1.51E-05,0.000105664,7.55E-05,1.51E-05,1.51E-05
dhal HR,0,0,0,0,3.02E-05,0,3.02E-05
dhal MR,0,6.04E-05,1.51E-05,3.02E-05,9.06E-05,3.02E-05,0
dhal KR,0.001358532,0.00113211,0.00110192,0.001207584,0.00107173,0.001283058,0.001252868
dhal NR,0.000211327,0.000332085,0.000437749,0.000226422,0.000301896,0.000241517,0.000271706
maida LR,0,0,1.51E-05,0,1.51E-05,0,3.02E-05
maida KR,0.001539669,0.001373626,0.001358532,0.001222678,0.001222678,0.001434006,0.001373626
maida NR,3.02E-05,0.000196232,0.000196232,0.00034718,0.000332085,0.000135853,0.000166043
oats LR,0.000105664,0.000150948,0.000150948,0.000166043,0.000301896,0.000316991,0.000211327
oats HR,3.02E-05,3.02E-05,3.02E-05,3.02E-05,4.53E-05,0,3.02E-05
oats MR,0,6.04E-05,0.000120758,0.000135853,0.000135853,7.55E-05,6.04E-05
oats KR,0.000830214,0.000181138,0.000181138,7.55E-05,0.000120758,0.000105664,0.000271706
oats NR,0.000603792,0.001147204,0.001086825,0.001162299,0.000966067,0.00107173,0.000996256
ragi LR,3.02E-05,0.000135853,0.000286801,0.000120758,0.000181138,0.000286801,0.000105664
ragi HR,1.51E-05,0,1.51E-05,0,4.53E-05,0,0
ragi MR,0,7.55E-05,0.000135853,0.000166043,7.55E-05,0.000166043,7.55E-05
ragi KR,0.000981162,0.00037737,0.000332085,0.000407559,0.000301896,0.000271706,0.000271706
ragi NR,0.000543413,0.000981162,0.000800024,0.000875498,0.000966067,0.000845309,0.001117015
rice LR,3.02E-05,0.000226422,0.000135853,4.53E-05,0.000271706,0.000150948,1.51E-05
rice HR,0,4.53E-05,0,0,3.02E-05,0,0
rice KR,0.001313247,0.000633981,0.000890593,0.000875498,0.000528318,0.000392465,0.000784929
rice MR,0,0.000105664,1.51E-05,4.53E-05,9.06E-05,7.55E-05,4.53E-05
rice NR,0.000226422,0.000558507,0.000528318,0.000603792,0.000649076,0.000950972,0.00072455
wheat LR,4.53E-05,0.000196232,0.000105664,0.000135853,0.000135853,0.000181138,9.06E-05
wheat HR,0,3.02E-05,1.51E-05,0,0,3.02E-05,6.04E-05
wheat KR,0.001192489,0.000709455,0.000739645,0.000920783,0.000769835,0.000633981,0.000815119
wheat MR,0,7.55E-05,4.53E-05,4.53E-05,0.000150948,4.53E-05,6.04E-05
wheat NR,0.000332085,0.000558507,0.000664171,0.000467939,0.000513223,0.000679266,0.000543413
coconut LR,4.53E-05,0.000166043,0.000166043,0.000120758,9.06E-05,3.02E-05,0.000211327
coconut HR,0,1.51E-05,1.51E-05,0,3.02E-05,0,0
coconut KR,0.001252868,0.000664171,0.000679266,0.000860403,0.00072455,0.000769835,0.000739645
coconut MR,1.51E-05,0.000150948,4.53E-05,1.51E-05,0.000105664,0.000150948,4.53E-05
coconut NR,0.000256612,0.000573602,0.000664171,0.000573602,0.000618887,0.000618887,0.000573602
oil LR,0,1.51E-05,3.02E-05,6.04E-05,1.51E-05,0,0
oil KR,0.001494385,0.001403816,0.0014491,0.001192489,0.001403816,0.001358532,0.001358532
oil NR,7.55E-05,0.000135853,7.55E-05,0.000316991,0.000150948,0.000150948,0.000211327
oil MR,0,1.51E-05,1.51E-05,0,0,6.04E-05,0
garlic LR,4.53E-05,0.000226422,0.000120758,0.000241517,0.000301896,0.000256612,0.000166043
garlic HR,0,3.02E-05,3.02E-05,0,4.53E-05,0,3.02E-05
garlic MR,7.55E-05,0.000181138,6.04E-05,7.55E-05,9.06E-05,0.000135853,0.000196232
garlic KR,0.000905688,0.000256612,0.000316991,0.000332085,0.000211327,0.000226422,0.000135853
garlic NR,0.000543413,0.000875498,0.001041541,0.000920783,0.000920783,0.000950972,0.001041541
ginger LR,1.51E-05,0.000135853,0.000181138,0.000135853,4.53E-05,0.000181138,0.000150948
ginger HR,0,0,0,1.51E-05,1.51E-05,0,1.51E-05
ginger KR,0.001207584,0.000769835,0.000694361,0.000830214,0.000845309,0.000800024,0.000905688
ginger MR,0,4.53E-05,9.06E-05,7.55E-05,6.04E-05,0.000105664,4.53E-05
ginger NR,0.00034718,0.000618887,0.000603792,0.000513223,0.000603792,0.000483033,0.000452844
pepper LR,3.02E-05,4.53E-05,4.53E-05,3.02E-05,9.06E-05,6.04E-05,6.04E-05
pepper HR,0,0,1.51E-05,0,1.51E-05,0,0
pepper MR,0,0,3.02E-05,0,0,1.51E-05,1.51E-05
pepper KR,0.001418911,0.001177394,0.00113211,0.000920783,0.00107173,0.000966067,0.001192489
pepper NR,0.000120758,0.00034718,0.00034718,0.000618887,0.000392465,0.000528318,0.000301896
tamarind LR,0,3.02E-05,3.02E-05,3.02E-05,6.04E-05,1.51E-05,0
tamarind HR,0,1.51E-05,1.51E-05,0,0,0,1.51E-05
tamarind MR,0,3.02E-05,1.51E-05,0,0,0,3.02E-05
tamarind KR,0.001524574,0.001207584,0.001237773,0.001147204,0.001222678,0.00107173,0.001147204
