A/C,N,R,O,RU,UO,U,RO
greens NR,6.06E-05,0.000181887,9.09E-05,0.000106101,6.06E-05,0.000227359,4.55E-05
greens MR,0,0,0,0,0,1.52E-05,0
gourds LR,9.09E-05,0.000682077,0.000318302,0.000227359,0.000212202,0.001000379,0.000227359
gourds HR,0,0.000106101,7.58E-05,7.58E-05,1.52E-05,0.000181887,1.52E-05
gourds KR,0.000378931,0.000272831,0.000121258,0.000106101,6.06E-05,0.000303145,0.000106101
gourds MR,9.09E-05,0.000303145,0.000227359,0.000197044,0.00016673,0.000727548,0.000136415
gourds NR,0.000151573,0.00093975,0.000788177,0.000242516,0.00033346,0.001621826,0.000485032
kovaikai LR,3.03E-05,9.09E-05,6.06E-05,4.55E-05,1.52E-05,0.000151573,3.03E-05
kovaikai HR,0,1.52E-05,0,0,0,1.52E-05,0
kovaikai KR,0.000530504,0.001485411,0.001000379,0.000621448,0.000515347,0.00265252,0.000666919
kovaikai MR,1.52E-05,1.52E-05,4.55E-05,0,1.52E-05,1.52E-05,0
kovaikai NR,0.000136415,0.000697234,0.000424403,0.000181887,0.000242516,0.001000379,0.000272831
kothavarai LR,1.52E-05,7.58E-05,0.000106101,1.52E-05,4.55E-05,0.000151573,4.55E-05
kothavarai HR,0,0,1.52E-05,0,0,3.03E-05,0
kothavarai KR,0.000636605,0.001985601,0.001242895,0.000727548,0.000515347,0.002910193,0.000818492
kothavarai MR,0,1.52E-05,0,1.52E-05,3.03E-05,6.06E-05,1.52E-05
kothavarai NR,6.06E-05,0.000227359,0.00016673,9.09E-05,0.000197044,0.000682077,9.09E-05
Lfinger LR,1.52E-05,6.06E-05,9.09E-05,6.06E-05,1.52E-05,9.09E-05,4.55E-05
Lfinger HR,1.52E-05,0,1.52E-05,0,0,1.52E-05,0
Lfinger KR,0.000621448,0.001788556,0.00110648,0.000651762,0.000591133,0.002910193,0.000742706
Lfinger MR,0,1.52E-05,1.52E-05,0,0,1.52E-05,0
Lfinger NR,6.06E-05,0.00043956,0.000303145,0.000136415,0.000181887,0.000803335,0.000181887
malli LR,4.55E-05,0,1.52E-05,3.03E-05,0,6.06E-05,1.52E-05
malli HR,1.52E-05,1.52E-05,0,0,1.52E-05,0,0
malli KR,0.000621448,0.00215233,0.00137931,0.000757863,0.000727548,0.003349754,0.000833649
malli MR,0,0,0,1.52E-05,0,1.52E-05,0
malli NR,3.03E-05,0.000136415,0.000136415,4.55E-05,4.55E-05,0.000409246,0.000121258
mango LR,3.03E-05,0.000348617,0.000242516,0.000151573,0.00016673,0.000591133,0.000121258
mango HR,0,1.52E-05,0,0,0,6.06E-05,4.55E-05
